"filename", "language", "JSON", "JavaScript", "Markdown", "YAML", "Dart", "C++", "Swift", "XML", "Groovy", "Properties", "HTML", "Kotlin", "comment", "blank", "total"
"c:\Users\WOOZIE\AndroidStudioProjects\qr-coffee\qr_coffee\lib\models\article.dart", "Dart", 0, 0, 0, 0, 5, 0, 0, 0, 0, 0, 0, 0, 0, 2, 7
"c:\Users\WOOZIE\AndroidStudioProjects\qr-coffee\qr_coffee\lib\models\company.dart", "Dart", 0, 0, 0, 0, 12, 0, 0, 0, 0, 0, 0, 0, 0, 2, 14
"c:\Users\WOOZIE\AndroidStudioProjects\qr-coffee\qr_coffee\lib\models\credit_card.dart", "Dart", 0, 0, 0, 0, 13, 0, 0, 0, 0, 0, 0, 0, 0, 2, 15
"c:\Users\WOOZIE\AndroidStudioProjects\qr-coffee\qr_coffee\lib\models\item.dart", "Dart", 0, 0, 0, 0, 14, 0, 0, 0, 0, 0, 0, 0, 0, 2, 16
"c:\Users\WOOZIE\AndroidStudioProjects\qr-coffee\qr_coffee\lib\models\order.dart", "Dart", 0, 0, 0, 0, 22, 0, 0, 0, 0, 0, 0, 0, 0, 4, 26
"c:\Users\WOOZIE\AndroidStudioProjects\qr-coffee\qr_coffee\lib\models\place.dart", "Dart", 0, 0, 0, 0, 12, 0, 0, 0, 0, 0, 0, 0, 0, 2, 14
"c:\Users\WOOZIE\AndroidStudioProjects\qr-coffee\qr_coffee\lib\models\user.dart", "Dart", 0, 0, 0, 0, 27, 0, 0, 0, 0, 0, 0, 0, 0, 5, 32
"c:\Users\WOOZIE\AndroidStudioProjects\qr-coffee\qr_coffee\lib\screens\admin\admin_home.dart", "Dart", 0, 0, 0, 0, 194, 0, 0, 0, 0, 0, 0, 0, 19, 20, 233
"c:\Users\WOOZIE\AndroidStudioProjects\qr-coffee\qr_coffee\lib\screens\admin\bar_chart.dart", "Dart", 0, 0, 0, 0, 208, 0, 0, 0, 0, 0, 0, 0, 1, 22, 231
"c:\Users\WOOZIE\AndroidStudioProjects\qr-coffee\qr_coffee\lib\screens\authenticate\authenticate.dart", "Dart", 0, 0, 0, 0, 133, 0, 0, 0, 0, 0, 0, 0, 0, 7, 140
"c:\Users\WOOZIE\AndroidStudioProjects\qr-coffee\qr_coffee\lib\screens\authenticate\register.dart", "Dart", 0, 0, 0, 0, 146, 0, 0, 0, 0, 0, 0, 0, 4, 10, 160
"c:\Users\WOOZIE\AndroidStudioProjects\qr-coffee\qr_coffee\lib\screens\authenticate\register_worker.dart", "Dart", 0, 0, 0, 0, 129, 0, 0, 0, 0, 0, 0, 0, 2, 7, 138
"c:\Users\WOOZIE\AndroidStudioProjects\qr-coffee\qr_coffee\lib\screens\authenticate\sign_in.dart", "Dart", 0, 0, 0, 0, 133, 0, 0, 0, 0, 0, 0, 0, 5, 11, 149
"c:\Users\WOOZIE\AndroidStudioProjects\qr-coffee\qr_coffee\lib\screens\customer_app\customer_home.dart", "Dart", 0, 0, 0, 0, 71, 0, 0, 0, 0, 0, 0, 0, 0, 8, 79
"c:\Users\WOOZIE\AndroidStudioProjects\qr-coffee\qr_coffee\lib\screens\customer_app\customer_home_body.dart", "Dart", 0, 0, 0, 0, 224, 0, 0, 0, 0, 0, 0, 0, 24, 9, 257
"c:\Users\WOOZIE\AndroidStudioProjects\qr-coffee\qr_coffee\lib\screens\order_screens\coffee_inventory.dart", "Dart", 0, 0, 0, 0, 147, 0, 0, 0, 0, 0, 0, 0, 5, 9, 161
"c:\Users\WOOZIE\AndroidStudioProjects\qr-coffee\qr_coffee\lib\screens\order_screens\order_inventory.dart", "Dart", 0, 0, 0, 0, 433, 0, 0, 0, 0, 0, 0, 0, 9, 21, 463
"c:\Users\WOOZIE\AndroidStudioProjects\qr-coffee\qr_coffee\lib\screens\order_screens\order_screen(depricated).dart", "Dart", 0, 0, 0, 0, 341, 0, 0, 0, 0, 0, 0, 0, 12, 20, 373
"c:\Users\WOOZIE\AndroidStudioProjects\qr-coffee\qr_coffee\lib\screens\order_screens\set_order_frame.dart", "Dart", 0, 0, 0, 0, 415, 0, 0, 0, 0, 0, 0, 0, 20, 27, 462
"c:\Users\WOOZIE\AndroidStudioProjects\qr-coffee\qr_coffee\lib\screens\root\wrapper.dart", "Dart", 0, 0, 0, 0, 32, 0, 0, 0, 0, 0, 0, 0, 1, 4, 37
"c:\Users\WOOZIE\AndroidStudioProjects\qr-coffee\qr_coffee\lib\screens\sidebar\contact.dart", "Dart", 0, 0, 0, 0, 147, 0, 0, 0, 0, 0, 0, 0, 2, 9, 158
"c:\Users\WOOZIE\AndroidStudioProjects\qr-coffee\qr_coffee\lib\screens\sidebar\credit_card_form.dart", "Dart", 0, 0, 0, 0, 186, 0, 0, 0, 0, 0, 0, 0, 7, 10, 203
"c:\Users\WOOZIE\AndroidStudioProjects\qr-coffee\qr_coffee\lib\screens\sidebar\credit_card_screen.dart", "Dart", 0, 0, 0, 0, 96, 0, 0, 0, 0, 0, 0, 0, 3, 6, 105
"c:\Users\WOOZIE\AndroidStudioProjects\qr-coffee\qr_coffee\lib\screens\sidebar\help.dart", "Dart", 0, 0, 0, 0, 52, 0, 0, 0, 0, 0, 0, 0, 0, 6, 58
"c:\Users\WOOZIE\AndroidStudioProjects\qr-coffee\qr_coffee\lib\screens\sidebar\main_drawer.dart", "Dart", 0, 0, 0, 0, 179, 0, 0, 0, 0, 0, 0, 0, 1, 13, 193
"c:\Users\WOOZIE\AndroidStudioProjects\qr-coffee\qr_coffee\lib\screens\sidebar\personal_info.dart", "Dart", 0, 0, 0, 0, 155, 0, 0, 0, 0, 0, 0, 0, 6, 11, 172
"c:\Users\WOOZIE\AndroidStudioProjects\qr-coffee\qr_coffee\lib\screens\sidebar\settings.dart", "Dart", 0, 0, 0, 0, 210, 0, 0, 0, 0, 0, 0, 0, 1, 15, 226
"c:\Users\WOOZIE\AndroidStudioProjects\qr-coffee\qr_coffee\lib\screens\worker_app\worker_home.dart", "Dart", 0, 0, 0, 0, 148, 0, 0, 0, 0, 0, 0, 0, 1, 9, 158
"c:\Users\WOOZIE\AndroidStudioProjects\qr-coffee\qr_coffee\lib\screens\worker_app\worker_home_body.dart", "Dart", 0, 0, 0, 0, 167, 0, 0, 0, 0, 0, 0, 0, 1, 9, 177
"c:\Users\WOOZIE\AndroidStudioProjects\qr-coffee\qr_coffee\lib\service\auth.dart", "Dart", 0, 0, 0, 0, 41, 0, 0, 0, 0, 0, 0, 0, 6, 8, 55
